DATE,CYCLE,MONTH,SNOW_WC,SNOW_MELT,SNOW_PACK,TEMP_AV,TEMP_MN,TEMP_MX
12/31/2022,2023,Dec,12.8,0.0,1.4,29,24,34
01/01/2023,2023,Jan,16.9,0.0,4.1,21,14,25
01/02/2023,2023,Jan,16.9,0.0,0,19,10,27
01/03/2023,2023,Jan,17.1,0.0,0.2,24,20,29
01/04/2023,2023,Jan,17.1,0.0,0,32,28,37
01/05/2023,2023,Jan,17.7,0.0,0.6,28,23,32
01/06/2023,2023,Jan,18,0.0,0.3,25,18,33
01/07/2023,2023,Jan,18,0.0,0,28,22,32
01/08/2023,2023,Jan,18.1,0.0,0.1,28,23,33
01/09/2023,2023,Jan,18.8,0.0,0.7,29,21,34
01/10/2023,2023,Jan,20.1,0.0,1.3,25,21,28
01/11/2023,2023,Jan,21.7,0.0,1.6,29,22,34
01/12/2023,2023,Jan,21.8,0.0,0.1,37,34,43
01/13/2023,2023,Jan,21.9,0.0,0.1,34,29,39
01/14/2023,2023,Jan,22.7,0.0,0.8,27,24,31
01/15/2023,2023,Jan,23.9,0.0,1.2,22,20,26
01/16/2023,2023,Jan,24.1,0.0,0.2,22,20,26
01/17/2023,2023,Jan,25.3,0.0,1.2,17,11,27
01/18/2023,2023,Jan,25.3,0.0,0,23,13,33
01/19/2023,2023,Jan,25.8,0.0,0.5,16,10,23
01/20/2023,2023,Jan,25.7,0.1,0,18,10,28
01/21/2023,2023,Jan,25.6,0.1,0,30,18,43
01/22/2023,2023,Jan,25.5,0.1,0,18,14,26
01/23/2023,2023,Jan,25.4,0.1,0,22,14,30
01/24/2023,2023,Jan,25.4,0.0,0,30,22,38
01/25/2023,2023,Jan,25.5,0.0,0.1,27,22,36
01/26/2023,2023,Jan,25.6,0.0,0.1,31,23,42
01/27/2023,2023,Jan,25.7,0.0,0.1,30,18,40
01/28/2023,2023,Jan,25.7,0.0,0,27,16,40
01/29/2023,2023,Jan,25.7,0.0,0,15,5,23
01/30/2023,2023,Jan,26.1,0.0,0.4,13,5,18
01/31/2023,2023,Jan,26,0.1,0,28,18,37
02/01/2023,2023,Feb,26.1,0.0,0.1,33,27,44
02/02/2023,2023,Feb,26,0.1,0,35,27,43
02/03/2023,2023,Feb,25.9,0.1,0,32,29,34
02/05/2023,2023,Feb,4.2,21.7,0,22,19,26
02/06/2023,2023,Feb,4.2,0.0,0,23,17,29
02/07/2023,2023,Feb,27.2,0.0,23,33,24,44
02/08/2023,2023,Feb,27.1,0.1,0,33,24,50
02/09/2023,2023,Feb,27.1,0.0,0,37,26,49
02/10/2023,2023,Feb,27,0.1,0,36,28,44
02/11/2023,2023,Feb,27,0.0,0,25,23,28
02/12/2023,2023,Feb,27.2,0.0,0.2,30,22,37
02/13/2023,2023,Feb,27.1,0.1,0,33,23,46
02/14/2023,2023,Feb,27,0.1,0,13,6,22
02/15/2023,2023,Feb,27,0.0,0,14,6,23
02/16/2023,2023,Feb,26.9,0.1,0,23,10,35
02/17/2023,2023,Feb,27,0.0,0.1,24,16,35
02/18/2023,2023,Feb,26.9,0.1,0,30,19,42
02/19/2023,2023,Feb,26.9,0.0,0,33,23,41
02/20/2023,2023,Feb,26.9,0.0,0,37,30,46
02/21/2023,2023,Feb,27,0.0,0.1,26,10,37
02/22/2023,2023,Feb,27.2,0.0,0.2,11,6,16
02/23/2023,2023,Feb,27.5,0.0,0.3,11,8,13
02/24/2023,2023,Feb,28.2,0.0,0.7,17,13,21
02/25/2023,2023,Feb,29.6,0.0,1.4,26,21,29
02/26/2023,2023,Feb,30,0.0,0.4,22,20,27
02/27/2023,2023,Feb,30.7,0.0,0.7,16,13,20
02/28/2023,2023,Feb,31.7,0.0,1,17,12,21
03/01/2023,2023,Mar,33.6,0.0,1.9,13,9,19
03/02/2023,2023,Mar,33.6,0.0,0,28,11,43
03/03/2023,2023,Mar,33.6,0.0,0,28,21,37
03/04/2023,2023,Mar,33.6,0.0,0,18,12,23
03/05/2023,2023,Mar,34.6,0.0,1,15,11,19
03/06/2023,2023,Mar,35.5,0.0,0.9,16,9,26
03/07/2023,2023,Mar,35.8,0.0,0.3,18,14,24
03/08/2023,2023,Mar,35.9,0.0,0.1,17,11,20
03/09/2023,2023,Mar,36.1,0.0,0.2,29,19,35
03/10/2023,2023,Mar,37.8,0.0,1.7,29,23,35
03/11/2023,2023,Mar,38.6,0.0,0.8,30,28,34
03/12/2023,2023,Mar,40.5,0.0,1.9,31,29,36
03/13/2023,2023,Mar,40.8,0.0,0.3,31,28,35
03/14/2023,2023,Mar,41.2,0.0,0.4,33,30,38
03/15/2023,2023,Mar,41.8,0.0,0.6,27,21,33
03/16/2023,2023,Mar,41.8,0.0,0,25,17,33
03/17/2023,2023,Mar,41.9,0.0,0.1,27,17,38
03/18/2023,2023,Mar,41.8,0.1,0,32,21,41
03/19/2023,2023,Mar,41.8,0.0,0,31,27,36
03/20/2023,2023,Mar,42.4,0.0,0.6,27,17,34
12/21/2023,2024,Dec,4.4,38.0,0,34,31,37
12/22/2023,2024,Dec,4.4,0.0,0,31,22,39
12/23/2023,2024,Dec,4.4,0.0,0,26,19,41
12/24/2023,2024,Dec,4.4,0.0,0,33,25,43
12/25/2023,2024,Dec,4.3,0.1,0,37,34,42
12/26/2023,2024,Dec,4.3,0.0,0,38,31,44
12/27/2023,2024,Dec,4.3,0.0,0,39,33,45
12/28/2023,2024,Dec,4.3,0.0,0,38,33,46
12/29/2023,2024,Dec,4.2,0.1,0,40,32,46
12/30/2023,2024,Dec,4.2,0.0,0,30,22,33
12/31/2023,2024,Dec,4.3,0.0,0.1,25,17,33
01/01/2024,2024,Jan,4.2,0.1,0,26,20,36
01/02/2024,2024,Jan,4.2,0.0,0,30,26,35
01/03/2024,2024,Jan,4.4,0.0,0.2,23,20,26
01/04/2024,2024,Jan,4.5,0.0,0.1,24,17,35
01/05/2024,2024,Jan,4.6,0.0,0.1,25,18,29
01/06/2024,2024,Jan,4.6,0.0,0,20,9,28
01/07/2024,2024,Jan,5.3,0.0,0.7,12,7,19
01/08/2024,2024,Jan,5.3,0.0,0,24,8,32
01/09/2024,2024,Jan,5.3,0.0,0,28,23,31
01/10/2024,2024,Jan,5.3,0.0,0,22,13,25
01/11/2024,2024,Jan,6.4,0.0,1.1,17,3,27
01/12/2024,2024,Jan,6.4,0.0,0,27,25,29
01/13/2024,2024,Jan,6.4,0.0,0,31,27,33
01/14/2024,2024,Jan,6.5,0.0,0.1,30,25,37
01/15/2024,2024,Jan,6.5,0.0,0,30,25,41
01/16/2024,2024,Jan,6.5,0.0,0,36,31,44
01/17/2024,2024,Jan,6.6,0.0,0.1,31,27,35
01/18/2024,2024,Jan,6.5,0.1,0,40,32,48
01/19/2024,2024,Jan,6.5,0.0,0,39,34,46
01/20/2024,2024,Jan,6.6,0.0,0.1,32,30,35
01/21/2024,2024,Jan,6.6,0.0,0,32,29,36
01/22/2024,2024,Jan,6.7,0.0,0.1,32,28,35
01/23/2024,2024,Jan,6.9,0.0,0.2,29,23,36
01/24/2024,2024,Jan,6.9,0.0,0,32,29,37
01/25/2024,2024,Jan,7,0.0,0.1,27,21,35
01/26/2024,2024,Jan,6.9,0.1,0,38,27,42
01/27/2024,2024,Jan,6.9,0.0,0,42,35,49
01/28/2024,2024,Jan,6.9,0.0,0,44,38,53
01/29/2024,2024,Jan,6.9,0.0,0,45,36,55
01/30/2024,2024,Jan,6.8,0.1,0,42,35,49
01/31/2024,2024,Jan,6.8,0.0,0,38,33,44
02/01/2024,2024,Feb,6.9,0.0,0.1,29,23,33
02/02/2024,2024,Feb,7.1,0.0,0.2,23,18,29
02/03/2024,2024,Feb,7.4,0.0,0.3,20,14,27
02/04/2024,2024,Feb,7.5,0.0,0.1,27,22,31
02/05/2024,2024,Feb,8.7,0.0,1.2,28,24,33
02/06/2024,2024,Feb,8.9,0.0,0.2,25,19,30
02/07/2024,2024,Feb,8.9,0.0,0,24,18,28
02/08/2024,2024,Feb,9,0.0,0.1,22,14,29
02/09/2024,2024,Feb,9,0.0,0,21,16,27
02/11/2024,2024,Feb,9.1,0.0,0.1,34,26,43
02/12/2024,2024,Feb,9.2,0.0,0.1,33,25,43
02/13/2024,2024,Feb,9.2,0.0,0,30,25,40
02/14/2024,2024,Feb,9.3,0.0,0.1,29,26,32
02/15/2024,2024,Feb,10,0.0,0.7,28,25,33
02/16/2024,2024,Feb,10.1,0.0,0.1,32,26,38
02/17/2024,2024,Feb,10,0.1,0,34,29,38
02/18/2024,2024,Feb,10.4,0.0,0.4,34,28,42
02/19/2024,2024,Feb,10.9,0.0,0.5,30,28,34
02/20/2024,2024,Feb,11.7,0.0,0.8,29,25,34
02/21/2024,2024,Feb,11.9,0.0,0.2,26,18,34
02/22/2024,2024,Feb,11.9,0.0,0,26,15,38
02/23/2024,2024,Feb,11.9,0.0,0,29,20,38
02/24/2024,2024,Feb,11.9,0.0,0,35,26,44
02/25/2024,2024,Feb,11.9,0.0,0,37,31,45
02/26/2024,2024,Feb,11.9,0.0,0,30,27,33
02/27/2024,2024,Feb,11.9,0.0,0,28,23,37
02/28/2024,2024,Feb,11.9,0.0,0,34,26,43
02/29/2024,2024,Feb,11.8,0.1,0,30,27,32
03/01/2024,2024,Mar,13.2,0.0,1.4,25,24,27
03/02/2024,2024,Mar,16.5,0.0,3.3,18,13,23
03/03/2024,2024,Mar,18.9,0.0,2.4,19,15,23
03/04/2024,2024,Mar,19.8,0.0,0.9,21,12,30
03/05/2024,2024,Mar,19.9,0.0,0.1,27,24,32
03/06/2024,2024,Mar,19.8,0.1,0,29,20,39
03/07/2024,2024,Mar,19.8,0.0,0,25,19,30
03/08/2024,2024,Mar,19.8,0.0,0,30,20,37
03/09/2024,2024,Mar,19.8,0.0,0,32,29,38
03/10/2024,2024,Mar,19.8,0.0,0,32,28,40
03/11/2024,2024,Mar,19.9,0.0,0.1,30,26,37
03/12/2024,2024,Mar,19.8,0.1,0,29,24,34
03/13/2024,2024,Mar,19.9,0.0,0.1,25,17,33
03/14/2024,2024,Mar,19.8,0.1,0,24,16,30
03/15/2024,2024,Mar,19.9,0.0,0.1,29,20,36
03/16/2024,2024,Mar,19.8,0.1,0,33,24,42
03/17/2024,2024,Mar,19.7,0.1,0,37,27,44
03/18/2024,2024,Mar,19.6,0.1,0,41,35,47
03/19/2024,2024,Mar,19.5,0.1,0,42,33,51
